Provinsi;Jumlah Penduduk (Ribu)
Aceh;5626
Sumatera Utara;157858
Sumatera Barat;59143
Riau;68112
Jambi;37685
Sumatera Selatan;89285
Bengkulu;2138
Lampung;95229
Kepulauan Bangka Belitung;15508
Kepulauan Riau;22135
DKI Jakarta;10678
Jawa Barat;50759
Jawa Tengah;382339
DI Yogyakarta;37815
Jawa Timur;420893
Banten;125374
Bali;44613
Nusa Tenggara Barat;57311
Nusa Tenggara Timur;57426
Kalimantan Barat;5766
Kalimantan Tengah;2845
Kalimantan Selatan;43233
Kalimantan Timur;42676
Kalimantan Utara;7494
Sulawesi Utara;27214
Sulawesi Tengah;31561
Sulawesi Selatan;95631
Sulawesi Tenggara;28367
Gorontalo;12422
Sulawesi Barat;15253
Maluku;19706
Maluku Utara;13738
Papua Barat;5876
Papua Barat Daya;6364
Papua;10736
Papua Selatan;5497
Papua Tengah;14923
Papua Pegunungan;14849